0,"[('PULICE CONSTRUCTION INC. ', ' 83702317.31'), (' THE LANE CONSTRUCTION CORPORATION ', ' 84156037.80'), (' WILLIAMS BROTHERS CONSTRUCTION CO. INC. ', ' 73929401.69'), (' FLATIRON CONSTRUCTORS INC. ', ' 79922832.75'), (' WEBBER LLC ', ' 87606845.80'), (' ZACHRY CONSTRUCTION CORPORATION ', ' 85982411.71'), (' MCCARTHY BUILDING COMPANIES INC. ', ' 86132345.12')]"
1,"[('NORTHEASTERN PAVERS INC. ', ' 8685268.42'), (' MISSOURI PETROLEUM PRODUCTS COMPANY LLC ', ' 9108664.77'), (' BRANNAN PAVING CO. LTD. ', ' 9439010.35'), (' LIPHAM ASPHALT AND PAVING COMPANY LLC ', ' 8458527.23')]"
2,"[('ANGEL BROTHERS HOLDINGS CORP. ', ' 1943102.50'), (' CLARK CONSTRUCTION OF TEXAS INC. ', ' 2053471.76'), (' COX PAVING OF TEXAS INC. ', ' 1878411.95')]"
3,"[('STRIPING TECHNOLOGY L.P. ', ' 978681.96'), (' TRP CONSTRUCTION GROUP LLC ', ' 1145234.66'), (' TOTAL HIGHWAY MAINTENANCE LLC ', ' 1183874.61'), (' STRIPE-A-ZONE INC. ', ' 814705.32')]"
4,"[('HUNTER INDUSTRIES LTD. ', ' 6750845.50'), (' CLARK CONSTRUCTION OF TEXAS INC. ', ' 6857064.47'), (' AUSTIN MATERIALS LLC ', ' 7048748.07'), (' ANGEL BROTHERS HOLDINGS CORP. ', ' 6295132.13')]"
5,"[('BRANNAN PAVING CO. LTD. ', ' 8807758.17'), (' MISSOURI PETROLEUM PRODUCTS COMPANY LLC ', ' 9214855.36')]"
6,"[('THIRD COAST SERVICES LLC ', ' 339457.52'), (' STATEWIDE TRAFFIC SIGNAL COMPANY ', ' 385199.61'), (' TRAF-TEX INC. ', ' 306857.45')]"
7,"[('AUSTIN BRIDGE & ROAD SERVICES LP ', ' 3636072.77'), (' DUININCK INC. ', ' 4269744.86'), (' KIEWIT INFRASTRUCTURE SOUTH CO. ', ' 5573340.20'), (' ZACK BURKETT CO. ', ' 3440613.52')]"
8,"[('J. LEE MILLIGAN INC. ', ' 230939.50'), (' RK HALL LLC ', ' 455937.52'), (' OPPORTUNITY EXCAVATION/CONCRETE LLC ', ' 171970.75')]"
9,"[('STRIPING TECHNOLOGY L.P. ', ' 570658.95'), (' DURABLE SPECIALTIES INC. ', ' 575000.00'), (' AMERICAN LIGHTING AND SIGNALIZATION INC. ', ' 703182.03'), (' TEXAS TRAFFIC CONTROL SYSTEMS INC. ', ' 566437.35')]"
10,"[('MAIN LANE INDUSTRIES LTD. ', ' 2436500.00'), (' FNH CONSTRUCTION LLC ', ' 4103286.85'), (' ARANDA BROTHERS CONSTRUCTION CO. INC. ', ' 2968534.95'), (' ANGEL BROTHERS HOLDINGS CORP. ', ' 2466376.97'), (' ISI CONTRACTING INC. ', ' 2297994.98'), (' DURWOOD GREENE CONSTRUCTION CO. ', ' 2515350.10'), (' JOHN REED AND COMPANY LLC ', ' 3046812.94'), (' HASSELL CONSTRUCTION COMPANY INC. ', ' 2427497.89'), (' TRIPLE B SERVICES LLP ', ' 2546304.95'), (' TLC TRUCKING & CONTRACTING INC. ', ' 2498877.33'), (' ALTUS CONSTRUCTION LLC ', ' 3054071.92')]"
