,win_amt
0,73929401.69
1,8458527.23
2,1878411.95
3,814705.32
4,6295132.13
5,8807758.17
6,306857.45
7,3440613.52
8,171970.75
9,566437.35
10,2297994.98
11,3460417.8
12,323412.25
13,831842.18
14,8889677.69
15,1218683.3
16,2450487.6
17,4724025.62
18,3875212.2
19,1112445.0
20,2735640.96
21,3793865.0
22,2468925.07
23,837893.66
24,1419691.25
25,964954.45
26,3489225.84
27,781891.4
28,5739451.5
29,1331516.98
30,391870.25
31,282625.2
32,12438153.53
33,6917371.67
34,1750008.32
35,607568.4
36,276120.0
37,9048794.43
38,145279.0
39,2474990.19
40,611559.93
41,2240983.05
42,281200.0
43,4749992.46
44,4558633.8
45,1250025.0
46,746460.56
47,381220.0
48,1271914.4
49,646827.0
50,4196348.59
51,256403.0
52,412715.0
53,11201892.34
54,6367226.55
55,58317.0
56,7109675.99
57,504054.7
58,975375.0
59,890749.7
60,3992174.4
61,894047.5
62,1149332.65
63,1177089.58
64,2877967.28
65,46273495.21
66,13195417.33
67,12311087.55
68,12418604.49
69,11550371.74
70,6339169.41
71,11464497.25
72,1222090.6
73,1559435.35
74,13599302.66
75,1841758.65
76,1452873.79
77,1827606.5
78,6987285.33
79,2469056.6
80,4496496.0
81,7102463.0
82,4875271.5
83,5209700.38
84,992122.0
85,2363014.51
86,402160.0
87,637843.52
88,3109249.3
89,3146566.94
90,568940.0
91,421489.28
92,576600.95
93,522619.67
94,13863443.8
95,12847144.69
96,9674310.41
97,6688994.61
98,8045394.81
99,14639000.0
100,1559999.0
101,3349483.21
102,5901345.73
103,3147885.71
104,1687687.9
105,3939634.17
106,2950708.42
107,6878335.7
108,3097496.79
109,3968760.1
110,2490919.29
111,1189744.5
112,6244705.71
113,937479.52
114,1833580.0
115,344814.91
116,8914435.17
117,897886.53
118,1422302.9
119,2558730.21
120,683925.0
121,1054700.0
122,1238555.18
123,121744991.3
124,11359831.33
125,16390000.0
126,647884.35
127,359054.46
128,1786301.9
129,1129593.9
130,2347299.0
131,619319.3
132,2675061.25
133,617038.32
134,1734750.0
135,1718929.72
136,3317124.65
137,2234365.6
138,394378.0
139,355317.13
140,1091491.65
141,724233.9
142,100967.03
143,3887167.58
144,5498583.77
145,4546219.5
146,3036343.55
147,1084400.0
148,964900.0
149,128204638.1
150,63971599.94
151,18405188.99
152,30453420.73
153,11487064.25
154,7317864.52
155,3239526.94
156,1680038.5
157,297989.32
158,3342055.98
159,1037127.0
160,3699830.35
161,663079.06
162,449866.88
163,2981766.6
164,5527215.43
165,3213559.48
166,416186.67
167,8246674.85
168,5186387.04
169,728162.74
170,697709.55
171,4010557.7
172,1254729.1
173,209929.7
174,2331043.05
175,5206108.37
176,2899083.65
177,1037967.6
178,2668802.19
179,6225724.96
180,3452509.19
181,8991858.57
182,6648303.62
183,985635.44
184,1173740.01
185,2625994.43
186,1471921.41
187,2861715.83
188,564892.18
189,3370389.0
190,1068368.4
191,1049426.92
192,246764.0
193,18593935.69
194,10180818.69
195,7340564.16
196,714920.81
197,3939023.45
198,2838058.33
199,1157974.5
200,1522927.91
201,2194472.98
202,474176.69
203,1557630.87
204,242635.1
205,1678694.17
206,1240000.0
207,1306470.24
208,716585.54
209,519583.1
210,796806.25
211,453594.1
212,311986.0
213,314980.0
214,213735.35
215,1003164.46
216,4091044.67
217,1447520.48
218,1585479.8
219,641000.0
220,293349.0
221,223068.55
222,799497.5
223,673249.2
224,1107205.6
225,470738.12
226,1002148.6
227,4986828.05
228,524435.7
229,4993779.69
230,1617402.2
231,717978.81
232,352286.84
233,681093.2
234,902792.1
235,272731.7
236,2299180.8
237,286525.3
238,181056.63
239,469792.5
240,1257197.39
241,235675.25
242,353399.95
243,970890.1
244,344250.0
245,530175.0
246,659645.0
247,659645.0
248,471241.0
249,192301342.5
250,2876796.84
251,775621.06
252,1197726.9
253,107712.98
254,2215251.08
255,1319538.69
256,286003.25
257,2999163.7
258,978908.2
259,65138.9
260,599736.4
261,1511372.54
262,793103.5
263,464333.0
264,3186550.0
265,541921.2
266,2315707.1
267,237243.3
268,255255.15
269,2951399.98
270,115598.2
271,195682.45
272,244900.27
273,1177187.95
274,1085462.59
275,4902990.18
276,540000.0
277,1774560.91
278,266493.54
279,96999.0
280,5673.0
281,758517.0
282,17078039.55
283,3134729.03
284,11399710.8
285,9962020.6
286,6982390.1
287,368813.0
288,2864063.57
289,430619.9
290,5258450.72
291,3015734.94
292,2063461.48
293,1862429.04
294,1679419.0
295,651104.75
296,3011597.6
297,897910.6
298,1494920.9
299,677720.76
300,3825527.24
301,893754.23
302,824244.8
303,3585893.33
304,2487232.28
305,1295587.0
306,1030636.95
307,7537201.74
308,1891195.25
309,4016437.41
310,3248620.98
311,287000.0
312,5252178.37
313,5830487.1
314,3056225.0
315,515225.6
316,557829.77
317,264432.0
318,329924.0
319,864658.0
320,581080.0
321,1906409.18
322,1885781.5
323,624886.23
324,739781.0
325,286936.0
326,14770182.68
327,351296.4
328,1497761.6
329,2923330.68
330,524246.68
331,55200.91
332,1947390.02
333,164000.0
334,205057.0
335,2446345.7
336,793931.0
337,876859.3
338,753675.6
339,7256065.09
340,4655723.69
341,1849419.98
342,272166.32
343,5321335.32
344,657809.0
345,790288.76
346,285999.99
347,3303723.03
348,1848432.22
349,2474844.69
350,1269696.0
351,4345840.87
352,213085.5
353,4670549.69
354,458347.1
355,5983021.72
356,649190.68
357,2333357.95
358,1774829.45
359,493138.6
360,372720.55
361,1375000.0
362,1383923.15
363,76238256.1
364,7388905.6
365,1439774.0
366,1295848.08
367,3022420.5
368,174160.93
369,318156.25
370,5144732.72
371,1793913.92
372,1244957.0
373,1812578.62
374,960040.86
375,6593233.7
376,134987.65
377,2865623.76
378,563243.5
379,1608279.03
380,682700.6
381,6433805.7
382,427889.98
383,1319985.0
384,3877223.25
385,2966572.1
386,8117215.7
387,1789204.91
388,1637667.96
389,14579827.28
390,1236660.89
391,2243158.37
392,477154.44
393,3437535.36
394,555351.28
395,538722.7
396,583673.62
397,482939.0
398,435725.0
399,285370.4
400,1762500.0
401,590284.0
402,463360.2
403,439852.2
404,453866.5
405,455673.0
406,321322.92
407,99783476.68
408,1474037.57
409,3537952.65
410,563996.22
411,963063.11
412,3114797.79
413,8248492.44
414,3211241.96
415,619443.5
416,214228.81
417,1683587.85
418,985671.81
419,462863.85
420,1012112.48
421,1622860.21
422,455922.0
423,5963457.12
424,3844068.35
425,328092.65
426,3335329.15
427,1158772.03
428,3108528.37
429,2436392.26
430,746501.3
431,3538933.21
432,696776.52
433,12380276.54
434,273290.91
435,5371369.95
436,936605.4
437,5676173.14
438,2285447.84
439,10014131.22
440,3419684.6
441,1451177.0
442,261915.9
443,986625.98
444,7889839.76
445,4313269.7
446,233008.0
447,3783684.49
448,2405439.7
449,554115.5
450,4046960.2
451,754509.86
452,1881273.2
453,1989594.44
454,2270328.78
455,6082985.19
456,2711157.55
457,5658758.05
458,4656945.55
459,7472229.7
460,432714.0
461,97066.0
462,3737969.44
463,4616649.64
464,1713209.17
465,4076992.45
466,2950399.18
467,1463102.55
468,706189.82
469,397732.27
470,4894838.28
471,712723.5
472,322992.6
473,1287284.82
474,1452118.33
475,190640.0
476,522230.0
477,2081077.93
478,532282.7
479,450425.09
480,972564.44
481,66845538.3
482,49960151.46
483,1895820.8
484,68371998.12
485,569694.87
486,1697511.95
487,44900.0
488,447421.5
489,671325.95
490,7142388.4
491,3360292.76
492,1474796.26
493,1335154.78
494,12363769.21
495,7093503.35
496,905345.35
497,624968.14
498,1409475.08
499,562624.3
500,1856165.1
501,3813436.38
502,286920.0
503,2256435.1
504,3439171.42
505,4949012.53
506,557600.0
507,5823754.28
508,258988.85
509,1057227.2
510,2315893.57
511,3271173.56
512,862850.0
513,553859.57
514,12222495.52
515,496357.0
516,268000.0
517,1448042.29
518,3372833.81
519,49926139.93
520,12997699.13
521,13947909.96
522,554791.65
523,1375866.73
524,831249.46
525,2038396.38
526,405949.0
527,117134.8
528,5416629.76
529,815945.44
530,938930.0
531,911970.84
532,1199814.31
533,985856.49
534,1354288.45
535,3839721.96
536,2616562.96
537,4161245.37
538,737683.48
539,3322042.95
540,1680355.86
541,951312.89
542,5286212.0
543,9885031.89
544,1388888.87
545,1276937.99
546,278277.5
547,7597119.14
548,6022301.01
549,568648.5
550,552981.25
551,1377443.86
552,5342972.79
553,3448134.33
554,2345678.9
555,2940497.26
556,904826.16
557,287880.1
558,995053.0
559,217681.35
560,564100.0
561,472042.55
562,624426.05
563,209620.0
564,1145761.0
565,538466.01
566,468221.0
567,109686038.5
568,54241512.22
569,24827885.12
570,14771556.14
571,9969131.13
572,11194639.21
573,5983269.3
574,504029.64
575,640525.98
576,5703541.75
577,737000.0
578,2346055.5
579,4087837.4
580,5984425.71
581,1498798.05
582,1284000.0
583,1333510.55
584,447590.0
585,1398421.5
586,2678096.51
587,204386.5
588,708783.0
589,348040.68
590,2697083.13
591,4456842.61
592,514230.77
593,5787450.16
594,418186.6
595,188299.0
596,370150.0
597,419937.4
598,131854.9
599,1665295.93
600,1167403.5
601,2981256.75
602,2846962.56
603,29849945.95
604,141496478.1
605,39547700.0
606,15229273.88
607,10637780.19
608,8911050.59
609,1293885.0
610,1824808.25
611,3414157.03
612,475527.9
613,3997554.79
614,1088533.0
615,452670.2
616,3320330.51
617,1279638.81
618,1044122.0
619,1050836.68
620,4336031.67
621,2680558.94
622,8000083.18
623,823436.65
624,567765.26
625,905681.32
626,273413.21
627,646004.2
628,2926648.23
629,8326091.95
630,382000.0
631,181556.9
632,6654770.06
633,897190.43
634,6095883.88
635,5357270.94
636,496446.6
637,674379.67
638,1597549.75
639,4487326.99
640,2336954.31
641,1750000.0
642,1648413.6
643,510941.81
644,940401.15
645,4102824.0
646,483707.97
647,1311766.43
648,371098.67
649,305221.2
650,595781.2
651,749961.23
652,596949.3
653,3379711.0
654,63963884.91
655,42308391.45
656,25596044.49
657,3268105.61
658,179200.0
659,3476509.8
660,1983066.57
661,5292158.61
662,158863.0
663,264228.0
664,92050.2
665,37641150.13
666,2889061.76
667,2025296.0
668,314706.95
669,4481848.93
670,2792437.52
671,4469341.79
672,724708.7
673,3535361.5
674,618276.5
675,444575.5
676,499477.5
677,1003924.5
678,1359589.42
679,1562281.63
680,1611272.54
681,2069426.76
682,3484144.57
683,988888.5
684,3070707.87
685,1947826.26
686,1987502.23
687,7015561.58
688,4956163.24
689,557176.2
690,42375492.33
691,41231130.96
692,25376264.25
693,11599739.37
694,17475201.59
695,9690620.28
696,10459588.75
697,8161719.84
698,7781945.15
699,3958979.2
700,83369.31
701,798693.0
702,733626.26
703,890456.22
704,4567928.74
705,957145.0
706,1663381.09
707,619833.67
708,606000.0
709,2750000.0
710,1330984.07
711,1598158.58
712,1011480.75
713,3522310.63
714,377671.08
715,3149693.5
716,7767027.74
717,1139171.29
718,1224577.5
719,491471.2
720,1204213.5
721,1699468.02
722,225289.0
723,988674.86
724,9178944.71
725,3972777.0
726,444410.7
727,241382.82
728,1895000.0
729,1116909.0
730,2168168.0
731,3624096.35
732,2398060.27
733,603661.0
734,1497828.55
735,1728825.0
736,748474.3
737,340362.85
738,3824363.0
739,392736.0
740,1148264.41
741,1487658.38
742,388000.0
743,2234850.0
744,1603286.66
745,547186.0
746,258760518.6
747,33676148.91
748,17962352.16
749,15005109.23
750,22671108.12
751,16837592.06
752,10446130.3
753,5023548.03
754,53513431.98
755,2091441.77
756,1803581.23
757,1472447.5
758,4085773.03
759,2883799.0
760,1576406.0
761,1646254.33
762,997337.74
763,3732867.33
764,930195.0
765,220428.17
766,2037263.05
767,598752.55
768,1750000.0
769,320804.3
770,689736.0
771,119588.0
772,1033763.03
773,1146308.58
774,3798996.97
775,2399994.55
776,685540.51
777,1316919.24
778,609894.0
779,224599.5
780,1664669.16
781,2924983.58
782,1127245.94
783,1419580.25
784,1442556.4
785,2389678.4
786,2078724.66
787,355908.71
788,316837.1
789,124206530.5
790,122051472.9
791,20795394.69
792,18990864.74
793,108315368.0
794,8575352.9
795,6854362.5
796,1336982.72
797,2906756.94
798,1126255.63
799,1040662.59
800,1691104.67
801,966661.0
802,6503123.07
803,6025846.06
804,485156.99
805,1696316.58
806,345345.91
807,4467052.1
808,3524688.87
809,1054131.89
810,1299987.08
811,864757.0
812,4044139.15
813,3375271.0
814,8878806.51
815,93214.4
816,602388.75
817,1690881.52
818,3921685.61
819,451306.0
820,1191740.0
821,1077661.37
822,825265.46
823,281936.15
824,4658453.87
825,668667.6
826,2284633.31
827,337396.0
828,271212.4
829,457753.32
830,988330.5
831,605866.5
832,4485273.8
833,1387213.56
834,422070.87
835,16127476.45
836,2282446.78
837,8551356.02
838,1393636.95
839,4173323.91
840,7919405.82
841,1472270.45
842,1099115.21
843,329686.97
844,425246.7
845,482088.8
846,2245195.89
847,184057.65
848,1011049.85
849,3550840.0
850,341805.45
851,1428673.97
852,5814758.83
853,878897.95
854,679839.4
855,967747.6
856,1539938.35
857,266571.0
858,216352.8
859,2153409.7
860,2747093.28
861,684590.0
862,2005741.23
863,576226.8
864,10109085.93
865,12525077.0
866,3481443.5
867,810357.03
868,1256871.32
869,612820.24
870,1478000.0
871,676266.5
872,8915686.62
873,951647.73
874,6225552.23
875,597891.99
876,6123477.87
877,918207.81
878,1177930.3
879,471769.13
880,12133439.1
881,1488885.75
882,681930.3
883,504134.68
884,2254742.75
885,5234721.77
886,496481.33
887,280100.65
888,11057967.43
889,11384511.2
890,160005.0
891,933485.5
892,2600518.07
893,4151266.7
894,1869823.09
895,918845.69
896,1499626.26
897,1118355.83
898,309168.0
899,349287.93
900,1720296.45
901,4311589.97
902,2113790.1
903,3815251.2
904,228356.0
905,483965.0
906,34567384.2
907,9290538.52
908,851224.0
909,995742.4
910,1384827.0
911,514522.7
912,890245.0
913,1572940.52
914,146702.25
915,4647883.8
916,1852110.0
917,336750.0
918,993657.54
919,1023189.87
920,710738.35
921,444444.44
922,346871.22
923,346594.9
924,2635988.1
925,4016934.13
926,591021.04
927,1436460.1
928,14437252.91
929,4165121.12
930,6324553.65
931,1766126.5
932,223073.5
933,130786.9
934,630023.0
935,459200.62
936,844010.32
937,10385539.17
938,1771160.83
939,3081938.37
940,2807514.44
941,6070587.69
942,11750606.53
943,14065121.25
944,1069536.55
945,6016230.12
946,1092202.76
947,1599937.89
948,5889198.08
949,856905.05
950,4606677.25
951,885285.24
952,669005.32
953,3745731.35
954,1063872.2
955,5784004.91
956,2040371.54
957,435854.53
958,2511870.22
959,1151604.59
960,486999.66
961,326400.0
962,1841385.45
963,401238.5
964,318825.0
965,1343150.0
966,3761543.11
967,772842.0
968,411771.0
969,1174127.0
970,249294.04
971,906374.36
972,50440638.45
973,28907909.72
974,9630759.46
975,69000.0
976,1983029.0
977,3255516.17
978,3082748.47
979,2034583.74
980,661980.04
981,313217.77
982,6395385.04
983,11361086.24
984,1139586.13
985,3343191.83
986,4253525.11
987,5078876.0
988,4719621.58
989,438751.1
990,2492972.1
991,636369.2
992,4949400.0
993,5195793.42
994,492135.9
995,1404255.26
996,1292000.0
997,229715.0
998,626160.0
999,4587960.51
1000,30289272.39
1001,23850927.46
1002,14897010.56
1003,13895724.75
1004,8925015.09
1005,2083697.62
1006,882311.75
1007,2882946.87
1008,6432024.47
1009,750614.45
1010,746680.66
1011,1114102.36
1012,763962.2
1013,2498951.08
1014,3064537.0
1015,1145849.4
1016,3187981.52
1017,6463046.29
1018,4379478.03
1019,763578.35
1020,61367.3
1021,2287795.2
1022,159363.94
1023,3231503.76
1024,2387610.51
1025,315294.86
1026,67255.0
1027,3635770.18
1028,7595396.32
1029,1482655.75
1030,286660.97
1031,731832.85
1032,778138.0
1033,490963.0
1034,387265.0
1035,413485.14
1036,562500.0
1037,779775.0
1038,228000.0
1039,2781230.0
1040,1715509.0
1041,173724094.7
1042,10510081.9
1043,1842668.48
1044,3117046.36
1045,9187304.69
1046,11652174.58
1047,7823711.75
1048,175785.35
1049,6798902.46
1050,1769283.99
1051,277779.4
1052,795655.68
1053,1344262.88
1054,1248578.84
1055,3331592.27
1056,324876.0
1057,679501.16
1058,1578551.0
1059,260188.2
1060,4615768.33
1061,248444.3
1062,428221.04
1063,126560.0
1064,36726431.19
1065,57190569.43
1066,10067448.29
1067,57717.25
1068,2645236.16
1069,3310004.48
1070,2595949.99
1071,4843711.66
1072,5427954.28
1073,4016607.46
1074,7287694.48
1075,7550372.33
1076,1743252.56
1077,3523494.74
1078,1576982.23
1079,8357383.92
1080,3931925.98
1081,1049635.3
1082,1617038.57
1083,5905799.1
1084,1374640.0
1085,219473.36
1086,4186076.22
1087,341835.98
1088,308378.62
1089,1174491.98
1090,830132.45
1091,513970.0
1092,445800.0
1093,463020.0
1094,433000.0
1095,393071.42
1096,643378.0
1097,464563.0
1098,3020324.44
1099,793602.0
1100,1843164.92
1101,1362859.76
1102,2673601.0
1103,587667.25
1104,329950.0
1105,4111599.52
1106,898962.7
1107,294131.0
1108,623817.65
1109,280851.2
1110,636000.0
1111,53390999.88
1112,8690979.58
1113,11368797.76
1114,1885537.1
1115,20587594.96
1116,1182793.98
1117,1810774.89
1118,2447924.56
1119,1048921.12
1120,6613692.24
1121,1185394.6
1122,858712.66
1123,1525326.0
1124,2405351.66
1125,234040.68
1126,1534308.55
1127,1757483.92
1128,338050.0
1129,573001.8
1130,5387885.79
1131,5234742.15
1132,278606.89
1133,2124211.95
1134,783671.49
1135,3160245.06
1136,1821663.85
1137,3288708.72
1138,6559485.05
1139,6632538.46
1140,54568.0
1141,781727.27
1142,2913595.42
1143,482197.48
1144,2307479.2
1145,2687805.15
1146,829774.11
1147,164664.83
1148,1258844.0
1149,2411705.72
1150,1637144.66
1151,2047763.19
1152,3793059.92
1153,2376096.44
1154,845727.71
1155,597597.0
1156,2494814.18
1157,1094325.4
1158,2447523.75
1159,1158086.0
1160,335632.92
1161,294820.39
1162,2096268.37
1163,1647633.4
1164,3522042.98
1165,3673746.04
1166,9267866.66
1167,5713900.34
1168,2093931.75
1169,10873603.31
1170,1408397.94
1171,553358.58
1172,343510.0
1173,648174.36
1174,562947.48
1175,1042370.7
1176,260107.32
1177,309192.71
1178,768536.0
1179,999987.47
1180,450285.36
1181,64660757.43
